,,,,,,,
,,,CONFIRMED IVF PREGNANCY REPORT,,,,
,,,,,,,
,,,Prepared For,,AQ Cattle,,
,,,Prepared On,,17-Jan-2026,,
,,,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Sr. No,ET Date,Recipient ID,1st PC Result,Donor,Donor Breed,SIRE Name,DIP
1,11/14/2025,08-28,Pregnant,29M,Angus,Reconquista 413 Eterno GC Bartolome,96
2,11/14/2025,08-31,Pregnant,29M,Angus,Reconquista 413 Eterno GC Bartolome,96
3,12/17/2025,10-12,Pregnant,204,Red Brahman,MR H AUBURN ROJO 706,63
4,12/17/2025,307,Pregnant,204,Red Brahman,MR H AUBURN ROJO 706,63
5,10/27/2025,97,Pregnant,204,Red Brahman,MR H AUBURN ROJO 706,114
6,10/27/2025,3/30,Pregnant,204,Red Brahman,MR H AUBURN ROJO 706,114
7,10/27/2025,3/5,Pregnant,2/4,Red Brahman,MR H AUBURN ROJO 706,114
8,10/27/2025,3/8,Pregnant,2/4,Red Brahman,MR H AUBURN ROJO 706,114
9,12/17/2025,31828,Pregnant,820/4,Grey Brahman,JDH Janos Manso 709,63
10,12/17/2025,174,Pregnant,820/4,Grey Brahman,JDH Janos Manso 709,63
11,12/17/2025,354,Pregnant,820/4,Grey Brahman,JDH Janos Manso 709,63
12,12/17/2025,301,Pregnant,820/4,Grey Brahman,JDH Janos Manso 709,63
13,12/17/2025,32159,Pregnant,820/4,Grey Brahman,JDH Janos Manso 709,63
14,12/12/2025,173,Pregnant,23035,Grey Brahman,JDH Janos Manso 709,68
15,11/14/2025,243,Pregnant,608,Grey Brahman,JDH Janos Manso 709,96
16,11/14/2025,362,Pregnant,402,Grey Brahman,JDH Janos Manso 709,96
17,11/3/2025,31724,Pregnant,612,Grey Brahman,JDH Janos Manso 709,107
18,11/3/2025,32145,Pregnant,649,Grey Brahman,JDH Janos Manso 709,107
19,10/27/2025,31291,Pregnant,257,Grey Brahman,JDH Janos Manso 709,114
20,10/26/2025,198,Pregnant,827,Red Brahman,JDH Janos Manso 709,115
21,10/26/2025,219,Pregnant,827,Red Brahman,JDH Janos Manso 709,115
22,10/26/2025,182,Pregnant,609,Grey Brahman,JDH Janos Manso 709,115
23,10/26/2025,190,Pregnant,909,Grey Brahman,JDH Janos Manso 709,115
24,10/26/2025,185,Pregnant,609,Grey Brahman,JDH Janos Manso 709,115
25,10/26/2025,229,Pregnant,649,Grey Brahman,JDH Janos Manso 709,115
26,9/27/2025,DZ 81,Pregnant,612,Grey Brahman,JDH Janos Manso 709,144
27,11/3/2025,6/20,Pregnant,612,Grey Brahman,BRC MR. JUMANJI 67,107
28,11/3/2025,2/22,Pregnant,04-08,Beef Master,BRC MR. JUMANJI 67,107
29,12/17/2025,320,Pregnant,649/9,Grey Brahman,BRC Dutton 376/8,63
30,12/17/2025,31874,Pregnant,609/9,Grey Brahman,BRC Dutton 376/8,63
31,12/17/2025,300,Pregnant,609/9,Grey Brahman,BRC Dutton 376/8,63
32,12/17/2025,250,Pregnant,609/9,Grey Brahman,BRC Dutton 376/8,63
33,12/17/2025,32171,Pregnant,609/9,Grey Brahman,BRC Dutton 376/8,63
34,12/17/2025,3/14,Pregnant,609/9,Grey Brahman,BRC Dutton 376/8,63
Notes:,,,,,,,
,,,,,,,
"1. Dam, sire, recipient tag ID, and embryo transfer dates are accurately documented for genetic traceability and commercial validation.",,,,,,,
2. This report serves as official delivery confirmation for the client’s IVF order.,,,,,,,
"3. Any further monitoring, calving guarantees, or post-confirmation services are governed by the agreed commercial terms.",,,,,,,
,,,,,,,
,Summary ,,,,,,
,,,,,,,
,,,,,,,
,SIRE,,DAM,Units,,,
,Grey Brahman,,Grey Brahman,23,,,
,Red Brahman,,Red Brahman,8,,,
,Beef Master,,Beef Master,1,,,
,Angus,,Angus,2,,,
,Total,,,34,,,
