# ET,Lab,Satellite,Customer ID,ET Date,ET Location (recipient farm),Recipient ID,Recipient ID,Cow/Heifer,Heat,CL Side,CL measure (mm),Protocol,Fresh or Frozen,# Cane if Frozen,Freezing date,ET Tech,ET assistant,BCScore,Embryo Stage 4-8,Embryo Grade,Heat,Heat day,1st PC date,1st PC Result,2nd PC date,2nd PC Result,Fetal Sexing,OPU Date,Donor,Donor Breed,Donor BW EPD,SIRE Name,SIRE BW EPD,Semen type,SIRE Breed,CLIENT ,DIP,DIP
1,DZF,DZF,DZF,5/1/2025,DZF,5,Local crossbred,Cow,.,.,18,CIDR+E2+PGF+ECG,Fresh,.,,Yaseen,Hamid,,7,1,,7,,Pregnant,,,,4/22/2025,909,Grey Brahman,2.1,NCC Jackpot,,Conventional,Grey Brahman,,,293
2,DZF,DZF,DZF,5/1/2025,DZF,38,Local crossbred,Cow,.,.,17,CIDR+E2+PGF+ECG,Fresh,.,,Yaseen,Hamid,,7,1,,7,,Open,,,,4/22/2025,600,Grey Brahman,1.6,NCC Jackpot,,Conventional,Grey Brahman,,,
3,DZF,DZF,DZF,5/1/2025,DZF,16,Local crossbred,Cow,.,.,19,CIDR+E2+PGF+ECG,Fresh,.,,Yaseen,Hamid,,7,1,,7,,Open,,,,4/22/2025,600,Grey Brahman,1.6,NCC Jackpot,,Conventional,Grey Brahman,,,
4,DZF,DZF,DZF,5/1/2025,DZF,18,Local crossbred,Cow,.,.,17,CIDR+E2+PGF+ECG,Fresh,.,,Yaseen,Hamid,,7,1,,7,,Open,,,,4/22/2025,600,Grey Brahman,1.6,NCC Jackpot,,Conventional,Grey Brahman,,,
5,DZF,DZF,DZF,5/1/2025,DZF,51,Local crossbred,Cow,.,.,20,CIDR+E2+PGF+ECG,Fresh,.,,Yaseen,Hamid,,7,1,,7,,Open,,,,4/22/2025,600,Grey Brahman,1.6,NCC Jackpot,,Conventional,Grey Brahman,,,
6,DZF,DZF,DZF,5/1/2025,DZF,42,Local crossbred,Cow,.,.,20,CIDR+E2+PGF+ECG,Fresh,.,,Yaseen,Hamid,,7,1,,7,,Open,,,,4/22/2025,600,Grey Brahman,1.6,NCC Jackpot,,Conventional,Grey Brahman,,,
7,DZF,DZF,DZF,5/1/2025,DZF,43,Local crossbred,Cow,.,.,18,CIDR+E2+PGF+ECG,Fresh,.,,Yaseen,Hamid,,7,1,,7,,Pregnant,,,,4/22/2025,747,Grey Brahman,1.6,NCC Jackpot,,Conventional,Grey Brahman,,,293
8,DZF,DZF,DZF,5/21/2025,DZF,6,Local crossbred,Cow,.,Left,16,CIDR+E2+PGF+ECG,Fresh,.,,Yaseen,Hamid,,7,1,,7,,Open,,,,5/13/2025,967,Grey Brahman,3,NCC Jackpot,,Conventional,Grey Brahman,,,
9,DZF,DZF,DZF,5/21/2025,DZF,17,Local crossbred,Cow,.,Right,16,CIDR+E2+PGF+ECG,Fresh,.,,Yaseen,Hamid,,7,1,,7,,Open,,,,5/13/2025,D1,Beef crossbred,,MR. CLAYTON SLUGGER,2.5,Conventional,Grey Brahman,,,
10,DZF,DZF,DZF,5/21/2025,DZF,19,Local crossbred,Cow,.,Left,16,CIDR+E2+PGF+ECG,Fresh,.,,Yaseen,Hamid,,7,1,,7,,Open,,,,5/13/2025,612,Grey Brahman,2.2,CAUCHITOS KARU SIMON 922/6,,Conventional,Grey Brahman,,,
