,,,,,,,,
,,,IVF PREGNANCY REPORT,,,,,
,,,,,,,,
,,,Prepared For,,Sardar Fahad Qayyum,,,
,,,Prepared On,,17-Jan-2026,,,
,,,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Sr. No,ET Date,Recipient TagID,Status,DAM,SIRE,,DIP,
1,11/14/2025,362,Pregnant,402,JDH Janos Manso 709,,11/5/2025,96
2,12/3/2025,67,Pregnant,BrafordBBQ,JDH Janos Manso 709,,,77
3,11/13/2025,163,Recheck,SM006,SM007,,,97
4,11/13/2025,231,Pregnant,SM006,SM007,,,97
5,11/13/2025,171,Pregnant,SM006,SM007,,,97
6,12/12/2025,31499,Pregnant,SM006,SM007,,,68
7,12/12/2025,31518,Pregnant,SM006,SM007,,,68
8,12/12/2025,32115,Pregnant,SM006,SM007,,,68
35,12/12/2025,820/4,MR V8 160/8,56,No,,,
37,12/12/2025,825/4,MR V8 160/8,75,No,,,
29,12/12/2025,820/4,MR V8 160/8,79,No,,,
42,12/17/2025,609/9,MR V8 160/8,95,No,,,
53,12/12/2025,909/9,SM007,109,No,,,
47,12/17/2025,825/4,MR V8 160/8,126,No,,,
22,12/12/2025,612,Karu Manso 800,169,No,,,
23,12/12/2025,612,Karu Manso 800,188,No,,,
55,12/12/2025,909/9,SM007,202,No,,,
54,12/12/2025,909/9,SM007,223,No,,,
34,12/12/2025,820/4,MR V8 160/8,226,No,,,
25,12/12/2025,609/9,MR V8 160/8,230,No,,,
50,12/17/2025,825/4,MR V8 160/8,237,No,,,
49,12/17/2025,825/4,MR V8 160/8,281,No,,,
44,12/17/2025,765/4,VL Rojo Whiskey 1/48,312,No,,,
48,12/17/2025,825/4,MR V8 160/8,31890,No,,,
,,,,,,,,
52,12/12/2025,909/9,SM007,32093,No,,,
31,12/12/2025,597/9,Karu Manso 800,32240,No,,,
36,12/12/2025,825/4,MR V8 160/8,32835,No,,,
,,,,,,,,
Notes:,,,,,,,,
,,,,,,,,
"1. Dam, sire, recipient tag ID, and embryo transfer dates are accurately documented for genetic traceability and commercial validation.",,,,,,,,
2. This report serves as official delivery confirmation for the client’s IVF order.,,,,,,,,
"3. Any further monitoring, calving guarantees, or post-confirmation services are governed by the agreed commercial terms.",,,,,,,,
,,,,,,,,
,Summary ,,,,,,,
,,,,,,,,
,,,,,,,,
,DAM,,SIRE,Units,Pregnant,,,
,BRC Lorraine 402,,JDH Janos 709,1,1,,,
,BRC Lorraine 402,,JDH Trevor 639,1,,,,
,Braford X,,F1 Gulabi,2,,,,
,Braford X,,JDH Janos 709,1,1,,,
,Braford X,,Black Brahman ,1,,,,
,Braford X,,TBD,6,,,,
,Braford X,,TBD,6,,,,
,Braford X,,TBD,4,,,,
,SM006,,JDH Janos 709,2,,,,
,SM006,,JDH Trevor 639,2,,,,
,SM006,,Pride of Maddox,2,,,,
,SM006,,SM007,10,6,,,
,SM006,,Gabru,2,,,,
,SM006,,Any Semen of Choice,2,,,,
,Beef Master,,F1 Gulabi,2,,,,
,Rosetta Mocha 2/4,,F1 Gulabi,2,,,,
,Rosetta Mocha 2/4,,Black Brahman ,2,,,,
,Total,,,48,8,,,
