Donor,Sire,,,,,,
909,Mr H Pride of Maddox Manso 684/8,,,,,239,
909,Mr H Pride of Maddox Manso 684/8,,,,,187,
909,Mr H Pride of Maddox Manso 684/8,,,,,215,
909,Mr H Pride of Maddox Manso 684/8,,,,,76,
909,Mr H Pride of Maddox Manso 684/8,,,,,31947,
909,Mr H Pride of Maddox Manso 684/8,,,,,166,
602,Mr H Pride of Maddox Manso 684/8,,,,,222,
2/4,VL Rojo Whiskey 1/48,,,,,31518,
991,Mr H Pride of Maddox Manso 684/8,,,,,32115,
2/4,VL Rojo Whiskey 1/48,,,,,31499,
984,Mr H Pride of Maddox Manso 684/8,,,,,62,
3/4,VL Rojo Whiskey 1/48,,,,,268,
984,Mr H Pride of Maddox Manso 684/8,,,,,195,
2/4,VL Rojo Whiskey 1/48,,,,,262,
BrafordBBQ,JDH Janos Manso 709,,,,,323,
BrafordBBQ,BRC Dutton 376/8,,,,,61,
D2,BRC Dutton 376/8,,,,,31996,
D2,BRC Dutton 376/8,,,,,342,
D2,BRC Dutton 376/8,,,,,,
BrafordBBQ,JDH Janos Manso 709,,,,,,
BrafordBBQ,BRC Dutton 376/8,,,,,,
BrafordBBQ,JDH Janos Manso 709,,,,,,
D2,BRC Dutton 376/8,,,,,,
BrafordBBQ,JDH Janos Manso 709,,,,,,
BrafordBBQ,BRC Dutton 376/8,,,,,,
BrafordBBQ,BRC Dutton 376/8,,,,,,
D2,BRC Dutton 376/8,,,,,,
BrafordBBQ,JDH Janos Manso 709,,,,,,
BrafordBBQ,JDH Janos Manso 709,,,,,,
BrafordBBQ,BRC Dutton 376/8,,,,,,
04-04,VL Rojo Whiskey 1/48,,,,,,
BrafordBBQ,JDH Janos Manso 709,,,,,,
825/4,VL Rojo Whiskey 1/48,,,,,,
BrafordBBQ,JDH Janos Manso 709,,,,,,
BrafordBBQ,BRC Dutton 376/8,,,,,,
,,,,,,,
,,,,,,,
,,,BrafordBBQ,BRC Dutton 376/8,,3/4,VL Rojo Whiskey 1/48
,,,BrafordBBQ,BRC Dutton 376/8,,991,Mr H Pride of Maddox Manso 684/8
,,,BrafordBBQ,BRC Dutton 376/8,,984,Mr H Pride of Maddox Manso 684/8
,,,BrafordBBQ,BRC Dutton 376/8,,984,Mr H Pride of Maddox Manso 684/8
,,,BrafordBBQ,BRC Dutton 376/8,,,
,,,BrafordBBQ,BRC Dutton 376/8,,,
,,,BrafordBBQ,JDH Janos Manso 709,,,
,,,BrafordBBQ,JDH Janos Manso 709,,,
,,,BrafordBBQ,JDH Janos Manso 709,,,
,,,BrafordBBQ,JDH Janos Manso 709,,,
,,,BrafordBBQ,JDH Janos Manso 709,,,
,,,BrafordBBQ,JDH Janos Manso 709,,,
,,,BrafordBBQ,JDH Janos Manso 709,,,
,,,BrafordBBQ,JDH Janos Manso 709,,,
