,,,,,,,,
,,,CONFIRMED IVF PREGNANCY REPORT,,,,,
,,,,,,,,
,,,Prepared For,,Palari Cattle Farm,,,
,,,Prepared On,,17-Jan-2026,,,
,,,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Sr. No,ET Date,DAM,SIRE,Recipient TagID,Pregnant Y/N,,DIP,
11,12/17/2025,609,Karu Manso 800,262,Pregnant,,,63
6,14-Nov-25,609,Karu Manso 800,329,Pregnant,,-96,96
7,14-Nov-25,609,Karu Manso 800,349,Pregnant,,-96,96
1,13-Nov-25,612,Karu Manso 800,55,Pregnant,,-97,97
8,14-Nov-25,747,Karu Manso 800,343,Pregnant,,-96,96
2,13-Nov-25,909,Karu Manso 800,125,Pregnant,,-97,97
4,13-Nov-25,2/4,Karu Manso 800,112,Pregnant,,-97,97
5,13-Nov-25,2/4,Karu Manso 800,139,Pregnant,,-97,97
3,13-Nov-25,2/4,Karu Manso 800,302,Pregnant,,-97,97
9,12/12/2025,597/9,Karu Manso 800,62,Pregnant,,,68
10,12/12/2025,967/9,Karu Manso 800,268,Pregnant,,,68
18,12/1/2025,602,Mr H Pride of Maddox Manso 684/8,269,Pregnant,,-79,79
14,11/30/2025,909,Mr H Pride of Maddox Manso 684/8,82,Pregnant,,-80,80
15,11/30/2025,909,Mr H Pride of Maddox Manso 684/8,180,Pregnant,,-80,80
17,12/1/2025,909,Mr H Pride of Maddox Manso 684/8,263,Pregnant,,-79,79
12,11/30/2025,909,Mr H Pride of Maddox Manso 684/8,276,Pregnant,,-80,80
16,11/30/2025,909,Mr H Pride of Maddox Manso 684/8,326,Pregnant,,-80,80
13,11/30/2025,909,Mr H Pride of Maddox Manso 684/8,32165,Pregnant,,-80,80
19,12/17/2025,602,Mr H Pride of Maddox Manso 684/8,323,Pregnant,,,63
26,12/17/2025,602,MR V8 160/8,342,Pregnant,,,63
23,12/12/2025,609/9,MR V8 160/8,239,Pregnant,,,68
35,12/12/2025,820/4,MR V8 160/8,56,No,,,
27,12/17/2025,609/9,MR V8 160/8,31996,Pregnant,,,63
20,12/12/2025,820/4,MR V8 160/8,76,Pregnant,,,68
37,12/12/2025,825/4,MR V8 160/8,75,No,,,
21,12/12/2025,820/4,MR V8 160/8,187,Pregnant,,,68
29,12/12/2025,820/4,MR V8 160/8,79,No,,,
42,12/17/2025,609/9,MR V8 160/8,95,No,,,
53,12/12/2025,909/9,SM007,109,No,,,
47,12/17/2025,825/4,MR V8 160/8,126,No,,,
22,12/12/2025,820/4,MR V8 160/8,215,Pregnant,,,68
22,12/12/2025,612,Karu Manso 800,169,No,,,
25,12/17/2025,825/4,MR V8 160/8,61,Pregnant,,,63
23,12/12/2025,612,Karu Manso 800,188,No,,,
24,12/12/2025,825/4,MR V8 160/8,31947,Pregnant,,,68
55,12/12/2025,909/9,SM007,202,No,,,
28,13-Nov-25,04-04,Rojo Whiskey 60/1,73,Pregnant,,-97,97
29,12/12/2025,909/9,SM007,166,Pregnant,,,68
54,12/12/2025,909/9,SM007,223,No,,,
34,12/12/2025,820/4,MR V8 160/8,226,No,,,
25,12/12/2025,609/9,MR V8 160/8,230,No,,,
50,12/17/2025,825/4,MR V8 160/8,237,No,,,
30,12/12/2025,909/9,SM007,222,Pregnant,,,68
32,12/1/2025,2/4,VL Rojo Whiskey 1/48,106,Pregnant,,-79,79
33,12/1/2025,2/4,VL Rojo Whiskey 1/48,338,Pregnant,,-79,79
49,12/17/2025,825/4,MR V8 160/8,281,No,,,
44,12/17/2025,765/4,VL Rojo Whiskey 1/48,312,No,,,
31,12/1/2025,2/4,VL Rojo Whiskey 1/48,364,Pregnant,,-79,79
36,12/12/2025,04-04,VL Rojo Whiskey 1/48,195,Pregnant,,,68
48,12/17/2025,825/4,MR V8 160/8,31890,No,,,
34,12/3/2025,04-04,VL Rojo Whiskey 1/48,375,Pregnant,,-77,77
35,12/3/2025,825/4,VL Rojo Whiskey 1/48,378,Pregnant,,-77,77
,,,,,,,,
,,,,,,,,
52,12/12/2025,909/9,SM007,32093,No,,,
31,12/12/2025,597/9,Karu Manso 800,32240,No,,,
36,12/12/2025,825/4,MR V8 160/8,32835,No,,,
,,,,,,,,
Notes:,,,,,,,,
,,,,,,,,
"1. Dam, sire, recipient tag ID, and embryo transfer dates are accurately documented for genetic traceability and commercial validation.",,,,,,,,
2. This report serves as official delivery confirmation for the client’s IVF order.,,,,,,,,
"3. Any further monitoring, calving guarantees, or post-confirmation services are governed by the agreed commercial terms.",,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,Summary ,,,,,,,
,,,,,,,,
,,,,,,,,
,SIRE,,DAM,Units,Pregnant,,,
,Karu Manso 800-1,,597,1,1,,,
,Karu Manso 800-1,,747,1,1,,,
,Karu Manso 800-1,,612,1,1,,,
,Karu Manso 800-1,,02/04,1,3,,,
,Karu Manso 800-1,,602/9,1,,,,
,Karu Manso 800-1,,631/9,1,,,,
,Karu Manso 800-1,,649/9,1,,,,
,Karu Manso 800-1,,825/4,2,,,,
,Karu Manso 800-1,,909/9,2,1,,,
,Karu Manso 800-1,,967/9,2,1,,,
,Karu Manso 800-1,,609/9,1,3,,,
,Pride of Maddox,,2/4,1,,,,
,Pride of Maddox,,602/9,2,2,,,
,Pride of Maddox,,649/9,1,,,,
,Pride of Maddox,,825/4,2,,,,
,Pride of Maddox,,909/9,2,6,,,
,Pride of Maddox,,967/9,2,,,,
,SM007,,631/9,1,,,,
,SM007,,825/4,1,,,,
,SM007,,909/9,1,2,,,
,SM007,,967/9,1,,,,
,V8 160/8,,609/9,1,2,,,
,V8 160/8,,820/4,1,5,,,
,V8 160/8,,602/9,1,1,,,
,V8 160/8,,825/4,1,1,,,
,Whiskey 1/48,,04-04,1,1,,,
,Whiskey 1/48,,825/4,1,1,,,
,Whiskey 1/48,,4-08,1,,,,
,Whiskey 1/48,,02/04,1,3,,,
,Whiskey 60/1,,04-04,3,1,,,
,Whiskey 60/1,,4-08,2,,,,
,Total,,,41,36,,,
