Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
31,10/26/2025,362,Beef Master,649,Beef Master,JDH Janos Manso 709,96
4,10/26/2025,3/8,CONFIRMED IVF PREGNANCY REPORT,23035,17-Jan-2026,JDH Janos Manso 709,114
12,Total,300,Pregnant,609,AQ Cattle,BRC Dutton 376/8,115
23,10/27/2025,31874,Angus,8,Angus,MR H AUBURN ROJO 706,96
2. This report serves as official delivery confirmation for the client’s IVF order.,SIRE,243,Prepared On,204,17-Jan-2026,JDH Janos Manso 709,63
24,Red Brahman,Recipient ID,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,257,AQ Cattle,Reconquista 413 Eterno GC Bartolome,96
32,Grey Brahman,173,Pregnant,2/4,Grey Brahman,BRC Dutton 376/8,114
31,ET Date,229,Prepared For,2/4,Beef Master,JDH Janos Manso 709,63
13,Grey Brahman,3/14,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,608,AQ Cattle,Reconquista 413 Eterno GC Bartolome,96
2,Grey Brahman,31724,1st PC Result,820/4,Red Brahman,BRC MR. JUMANJI 67,68
3,Grey Brahman,190,Angus,1,Grey Brahman,JDH Janos Manso 709,114
23,Summary ,Recipient ID,Grey Brahman,Donor,Red Brahman,JDH Janos Manso 709,96
2. This report serves as official delivery confirmation for the client’s IVF order.,11/14/2025,31874,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,820/4,Red Brahman,BRC MR. JUMANJI 67,107
13,Summary ,229,CONFIRMED IVF PREGNANCY REPORT,609/9,Beef Master,BRC MR. JUMANJI 67,DIP
25,10/26/2025,354,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,23,Red Brahman,JDH Janos Manso 709,107
31,10/27/2025,6/20,Red Brahman,609,Red Brahman,BRC MR. JUMANJI 67,114
14,10/27/2025,3/5,CONFIRMED IVF PREGNANCY REPORT,257,Angus,BRC Dutton 376/8,114
14,ET Date,08-31,Pregnant,649/9,17-Jan-2026,JDH Janos Manso 709,115
9,Total,31874,Red Brahman,608,Red Brahman,MR H AUBURN ROJO 706,114
12,ET Date,31874,Red Brahman,34,Donor Breed,SIRE Name,144
6,10/26/2025,174,Beef Master,1,Beef Master,BRC Dutton 376/8,114
Notes:,ET Date,Recipient ID,1st PC Result,23035,Beef Master,SIRE Name,63
Notes:,12/12/2025,320,Prepared For,612,Beef Master,SIRE Name,DIP
27,SIRE,362,Prepared On,402,17-Jan-2026,SIRE Name,68
7,ET Date,174,CONFIRMED IVF PREGNANCY REPORT,827,Red Brahman,MR H AUBURN ROJO 706,63
Notes:,11/3/2025,32171,Prepared On,257,Beef Master,SIRE Name,144
8,Total,2/22,Prepared On,909,Donor Breed,BRC MR. JUMANJI 67,144
20,11/14/2025,3/8,CONFIRMED IVF PREGNANCY REPORT,608,Donor Breed,MR H AUBURN ROJO 706,DIP
24,11/14/2025,300,Angus,608,AQ Cattle,BRC Dutton 376/8,144
8,12/17/2025,31724,Red Brahman,609,17-Jan-2026,BRC Dutton 376/8,96
28,SIRE,219,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,402,Grey Brahman,SIRE Name,63
5,10/27/2025,31291,CONFIRMED IVF PREGNANCY REPORT,8,17-Jan-2026,MR H AUBURN ROJO 706,68
11,10/27/2025,185,1st PC Result,2,Donor Breed,MR H AUBURN ROJO 706,96
12,9/27/2025,190,Angus,23,Grey Brahman,BRC MR. JUMANJI 67,96
28,Beef Master,362,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,909,17-Jan-2026,Reconquista 413 Eterno GC Bartolome,144
28,Red Brahman,301,CONFIRMED IVF PREGNANCY REPORT,820/4,17-Jan-2026,Reconquista 413 Eterno GC Bartolome,63
Sr. No,Summary ,32159,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,820/4,Beef Master,BRC MR. JUMANJI 67,115
19,11/14/2025,97,DAM,04-08,Grey Brahman,BRC MR. JUMANJI 67,96
2,10/26/2025,10-12,Red Brahman,609/9,Grey Brahman,BRC MR. JUMANJI 67,144
Notes:,Red Brahman,DZ 81,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,608,17-Jan-2026,SIRE Name,107
5,10/27/2025,2/22,1st PC Result,204,Red Brahman,BRC Dutton 376/8,DIP
15,Angus,354,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,402,Beef Master,BRC Dutton 376/8,144
15,Angus,6/20,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,257,Grey Brahman,MR H AUBURN ROJO 706,63
31,Beef Master,3/8,DAM,204,Red Brahman,BRC MR. JUMANJI 67,DIP
25,ET Date,174,CONFIRMED IVF PREGNANCY REPORT,649,Donor Breed,SIRE Name,107
4,SIRE,174,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,402,17-Jan-2026,MR H AUBURN ROJO 706,96
34,Summary ,300,Prepared On,Donor,17-Jan-2026,Reconquista 413 Eterno GC Bartolome,107
10,11/14/2025,97,1st PC Result,34,Beef Master,BRC MR. JUMANJI 67,96
21,Summary ,185,Prepared On,8,Red Brahman,BRC Dutton 376/8,96
19,10/26/2025,320,Pregnant,23,Angus,JDH Janos Manso 709,DIP
13,11/14/2025,301,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,2,AQ Cattle,BRC MR. JUMANJI 67,144
8,Total,32145,CONFIRMED IVF PREGNANCY REPORT,29M,Donor Breed,Reconquista 413 Eterno GC Bartolome,114
7,Total,3/8,Prepared For,2/4,Beef Master,MR H AUBURN ROJO 706,114
27,Angus,3/14,Red Brahman,2/4,Beef Master,SIRE Name,107
17,Grey Brahman,97,Red Brahman,04-08,Red Brahman,BRC MR. JUMANJI 67,115
18,11/3/2025,300,Red Brahman,609,Red Brahman,BRC Dutton 376/8,144
13,Red Brahman,300,CONFIRMED IVF PREGNANCY REPORT,Units,Grey Brahman,SIRE Name,107
25,12/17/2025,174,Prepared For,612,Beef Master,BRC Dutton 376/8,DIP
13,SIRE,250,1st PC Result,257,Beef Master,JDH Janos Manso 709,144
18,SIRE,32145,Beef Master,820/4,Beef Master,BRC MR. JUMANJI 67,144
"1. Dam, sire, recipient tag ID, and embryo transfer dates are accurately documented for genetic traceability and commercial validation.",10/26/2025,362,Prepared For,402,Angus,Reconquista 413 Eterno GC Bartolome,96
3,12/12/2025,182,Prepared On,34,Red Brahman,SIRE Name,107
25,ET Date,229,Beef Master,2/4,Angus,BRC Dutton 376/8,114
14,Angus,182,CONFIRMED IVF PREGNANCY REPORT,649/9,Beef Master,BRC Dutton 376/8,68
17,Red Brahman,219,Pregnant,Donor,Beef Master,BRC MR. JUMANJI 67,144
9,11/14/2025,31291,Prepared On,649,Beef Master,MR H AUBURN ROJO 706,68
7,Grey Brahman,31724,Pregnant,820/4,Red Brahman,MR H AUBURN ROJO 706,107
"1. Dam, sire, recipient tag ID, and embryo transfer dates are accurately documented for genetic traceability and commercial validation.",Summary ,31828,Pregnant,827,17-Jan-2026,BRC Dutton 376/8,63
2,12/17/2025,DZ 81,DAM,612,Beef Master,SIRE Name,107
32,Beef Master,97,DAM,23035,AQ Cattle,MR H AUBURN ROJO 706,96
"3. Any further monitoring, calving guarantees, or post-confirmation services are governed by the agreed commercial terms.",Red Brahman,301,1st PC Result,23035,AQ Cattle,Reconquista 413 Eterno GC Bartolome,68
22,Beef Master,97,DAM,257,AQ Cattle,BRC Dutton 376/8,68
11,Angus,185,Red Brahman,1,Angus,BRC MR. JUMANJI 67,107
23,9/27/2025,31874,Prepared On,23,Beef Master,MR H AUBURN ROJO 706,114
31,12/12/2025,2/22,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,2/4,Donor Breed,JDH Janos Manso 709,63
"3. Any further monitoring, calving guarantees, or post-confirmation services are governed by the agreed commercial terms.",SIRE,32171,Angus,204,17-Jan-2026,MR H AUBURN ROJO 706,DIP
25,Summary ,362,Prepared On,1,17-Jan-2026,MR H AUBURN ROJO 706,115
28,Total,3/14,Pregnant,609/9,17-Jan-2026,Reconquista 413 Eterno GC Bartolome,144
32,Total,08-31,Red Brahman,609/9,Red Brahman,SIRE Name,114
3,12/17/2025,32171,Angus,23,Angus,JDH Janos Manso 709,107
25,Beef Master,31291,1st PC Result,820/4,Angus,MR H AUBURN ROJO 706,63
Notes:,Grey Brahman,250,Angus,649/9,Beef Master,SIRE Name,115
19,Angus,32145,Prepared For,34,Angus,BRC Dutton 376/8,63
7,Grey Brahman,08-31,Red Brahman,Donor,Beef Master,MR H AUBURN ROJO 706,144
3,Summary ,3/8,CONFIRMED IVF PREGNANCY REPORT,909,Grey Brahman,BRC MR. JUMANJI 67,107
18,11/14/2025,3/14,1st PC Result,827,Grey Brahman,MR H AUBURN ROJO 706,144
"3. Any further monitoring, calving guarantees, or post-confirmation services are governed by the agreed commercial terms.",Angus,250,Grey Brahman,612,17-Jan-2026,Reconquista 413 Eterno GC Bartolome,96
31,SIRE,32159,Angus,820/4,Grey Brahman,MR H AUBURN ROJO 706,107
20,Grey Brahman,243,Prepared On,612,AQ Cattle,JDH Janos Manso 709,DIP
10,9/27/2025,08-28,Prepared On,608,Donor Breed,JDH Janos Manso 709,DIP
"1. Dam, sire, recipient tag ID, and embryo transfer dates are accurately documented for genetic traceability and commercial validation.",11/14/2025,190,CONFIRMED IVF PREGNANCY REPORT,2/4,Donor Breed,Reconquista 413 Eterno GC Bartolome,114
28,12/12/2025,174,Angus,609/9,AQ Cattle,SIRE Name,115
25,Red Brahman,229,Grey Brahman,827,Donor Breed,Reconquista 413 Eterno GC Bartolome,114
25,Red Brahman,08-31,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,649,Angus,MR H AUBURN ROJO 706,DIP
9,10/26/2025,250,Prepared For,609,Donor Breed,BRC Dutton 376/8,63
33,12/12/2025,6/20,Beef Master,2/4,17-Jan-2026,BRC Dutton 376/8,115
26,Angus,31828,CONFIRMED IVF PREGNANCY REPORT,04-08,Beef Master,JDH Janos Manso 709,144
11,12/12/2025,3/14,Beef Master,609/9,Donor Breed,BRC MR. JUMANJI 67,144
9,Summary ,DZ 81,1st PC Result,Units,AQ Cattle,JDH Janos Manso 709,68
21,11/3/2025,354,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,204,Angus,SIRE Name,114
30,Angus,97,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,649/9,Red Brahman,BRC Dutton 376/8,114
12,Summary ,362,Prepared On,608,AQ Cattle,SIRE Name,144
Sr. No,Red Brahman,3/5,Red Brahman,1,Red Brahman,BRC Dutton 376/8,63
2,Total,DZ 81,Grey Brahman,2/4,AQ Cattle,BRC Dutton 376/8,107
18,SIRE,300,Grey Brahman,649/9,Donor Breed,BRC MR. JUMANJI 67,96
16,12/12/2025,354,Grey Brahman,827,Angus,BRC Dutton 376/8,107
30,Angus,DZ 81,Beef Master,8,Angus,Reconquista 413 Eterno GC Bartolome,114
21,Total,3/30,Angus,649/9,Donor Breed,BRC MR. JUMANJI 67,107
13,Summary ,31724,DAM,8,Donor Breed,BRC MR. JUMANJI 67,63
11,10/27/2025,08-28,1st PC Result,23035,Grey Brahman,JDH Janos Manso 709,68
2,12/12/2025,3/30,Angus,608,Donor Breed,BRC MR. JUMANJI 67,144
12,11/3/2025,3/8,Pregnant,2/4,Red Brahman,SIRE Name,114
18,10/26/2025,174,Prepared On,Donor,Red Brahman,SIRE Name,63
