Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
"3. Any further monitoring, calving guarantees, or post-confirmation services are governed by the agreed commercial terms.",12/12/2025,909,Karu Manso 800,32165,Pregnant,55,-80,71.73
24,Whiskey 60/1,602,Rojo Whiskey 60/1,343,6,100,-96,70.54
Notes:,Karu Manso 800-1,DAM,825/4,281,2,58,-97,80.7
33,13-Nov-25,609/9,909/9,139,17-Jan-2026,56,-77,92.11
49,ET Date,909,597,82,3,55,DIP,74.96
3,12/3/2025,DAM,602/9,188,No,29,DIP,82.95
25,12/3/2025,609,609/9,32165,Pregnant Y/N,81,DIP,78.69
"1. Dam, sire, recipient tag ID, and embryo transfer dates are accurately documented for genetic traceability and commercial validation.",12/17/2025,765/4,631/9,73,Palari Cattle Farm,21,DIP,93.77
28,SM007,609,Rojo Whiskey 60/1,126,3,98,-80,67.87
8,Whiskey 60/1,2/4,VL Rojo Whiskey 1/48,32165,Pregnant,81,-80,68.01
52,Summary ,765/4,967/9,31947,1,56,-77,68.7
2,Pride of Maddox,820/4,612,125,1,71,-77,82.31
24,11/30/2025,609,747,55,Palari Cattle Farm,11,-96,94.52
10,SM007,04-04,2/4,169,17-Jan-2026,94,-80,90.06
47,14-Nov-25,04-04,VL Rojo Whiskey 1/48,195,36,84,-80,86.68
7,Whiskey 1/48,825/4,04-04,1,Palari Cattle Farm,38,-77,66.91
23,Summary ,597/9,649/9,Units,6,89,-80,75.27
13,12/17/2025,609,04-04,32093,17-Jan-2026,99,-96,74.85
13,SIRE,04-04,VL Rojo Whiskey 1/48,268,5,60,-80,76.62
"1. Dam, sire, recipient tag ID, and embryo transfer dates are accurately documented for genetic traceability and commercial validation.",ET Date,909,DAM,31996,Palari Cattle Farm,62,DIP,93.15
3,V8 160/8,609/9,609/9,125,5,46,-96,68.1
33,Karu Manso 800-1,825/4,2/4,281,36,16,-96,88.84
19,12/12/2025,DAM,Prepared For,342,3,51,-97,91.29
26,Whiskey 60/1,967/9,Karu Manso 800,32835,36,66,DIP,78.32
42,12/17/2025,609,Mr H Pride of Maddox Manso 684/8,75,6,63,-77,79.12
Notes:,SM007,820/4,CONFIRMED IVF PREGNANCY REPORT,32240,6,92,-96,69.32
47,12/17/2025,602,820/4,323,17-Jan-2026,58,-96,69.28
Notes:,ET Date,909,631/9,Recipient TagID,Pregnant Y/N,7,-96,67.11
3,Total,909,Rojo Whiskey 60/1,75,17-Jan-2026,66,-80,64.03
25,Pride of Maddox,747,612,2,1,19,-77,70.51
2. This report serves as official delivery confirmation for the client’s IVF order.,Karu Manso 800-1,909,2/4,41,36,26,-97,92.36
31,11/30/2025,602,Mr H Pride of Maddox Manso 684/8,31996,No,11,-80,91.53
34,11/30/2025,820/4,MR V8 160/8,226,No,52,-96,82.14
18,13-Nov-25,609/9,631/9,223,No,10,-80,81.83
42,Whiskey 60/1,04-04,Rojo Whiskey 60/1,222,1,2,-77,86.78
9,Whiskey 60/1,765/4,Prepared For,61,17-Jan-2026,73,-97,90.03
16,Pride of Maddox,820/4,820/4,342,No,77,-79,93.17
2,14-Nov-25,609,649/9,276,36,17,-96,70.3
6,Total,2/4,609/9,269,36,89,-77,81.31
14,SIRE,602,Rojo Whiskey 60/1,32240,1,20,-79,93.12
2. This report serves as official delivery confirmation for the client’s IVF order.,12/3/2025,747,DAM,76,6,77,-96,88.59
7,Summary ,2/4,612,31890,6,39,-80,84.39
2,12/1/2025,609,820/4,180,6,8,-77,88.16
31,14-Nov-25,909,967/9,302,17-Jan-2026,36,-96,69.75
42,12/3/2025,765/4,609/9,82,1,26,-97,92.78
15,Karu Manso 800-1,909,SM007,95,Pregnant Y/N,31,DIP,68.69
"3. Any further monitoring, calving guarantees, or post-confirmation services are governed by the agreed commercial terms.",12/1/2025,602,609/9,31890,2,100,-77,84.5
25,11/30/2025,609/9,825/4,Recipient TagID,3,27,-97,96.85
37,13-Nov-25,909/9,Mr H Pride of Maddox Manso 684/8,223,17-Jan-2026,99,-79,94.75
5,13-Nov-25,820/4,Karu Manso 800,31996,No,68,-80,72.55
20,ET Date,820/4,609/9,32835,No,84,-77,92.15
54,12/12/2025,825/4,602/9,2,Palari Cattle Farm,99,-80,83.54
30,Karu Manso 800-1,DAM,DAM,169,2,62,-79,83.85
13,12/1/2025,765/4,612,32835,36,15,-80,80.25
"3. Any further monitoring, calving guarantees, or post-confirmation services are governed by the agreed commercial terms.",14-Nov-25,820/4,SM007,364,6,57,-79,91.78
"1. Dam, sire, recipient tag ID, and embryo transfer dates are accurately documented for genetic traceability and commercial validation.",SIRE,820/4,4-08,3,1,42,-80,69.75
2. This report serves as official delivery confirmation for the client’s IVF order.,Whiskey 1/48,765/4,CONFIRMED IVF PREGNANCY REPORT,237,Pregnant Y/N,19,-97,64.54
12,SM007,765/4,631/9,269,17-Jan-2026,42,-80,80.33
53,Whiskey 1/48,909,820/4,169,17-Jan-2026,27,-80,65.86
2. This report serves as official delivery confirmation for the client’s IVF order.,SM007,820/4,825/4,215,3,49,-96,85.67
20,12/12/2025,597/9,602/9,41,1,16,-79,63.43
15,13-Nov-25,609,Prepared On,263,5,27,DIP,86.18
55,12/17/2025,597/9,602/9,76,2,74,-80,88.65
7,13-Nov-25,765/4,612,281,2,27,-97,64.47
12,ET Date,2/4,612,73,36,19,-96,74.05
44,12/12/2025,609/9,609/9,226,6,90,-79,82.59
55,13-Nov-25,609,Mr H Pride of Maddox Manso 684/8,61,17-Jan-2026,16,-79,94.26
20,Karu Manso 800-1,612,820/4,31996,17-Jan-2026,83,DIP,79.97
30,11/30/2025,825/4,909/9,237,Pregnant Y/N,8,-79,67.42
"3. Any further monitoring, calving guarantees, or post-confirmation services are governed by the agreed commercial terms.",12/12/2025,825/4,747,281,36,82,-97,89.82
"1. Dam, sire, recipient tag ID, and embryo transfer dates are accurately documented for genetic traceability and commercial validation.",12/12/2025,602,Prepared On,349,5,32,-97,71.16
8,SIRE,612,747,364,3,53,-79,91.96
23,13-Nov-25,820/4,VL Rojo Whiskey 1/48,109,3,36,-97,88.73
17,13-Nov-25,DAM,820/4,32240,Pregnant,51,-96,79.97
9,11/30/2025,2/4,DAM,112,No,35,DIP,64.6
2,12/1/2025,597/9,825/4,55,Pregnant,33,DIP,95.79
5,12/3/2025,597/9,Karu Manso 800,378,1,53,-80,95.03
15,12/1/2025,612,4-08,342,Pregnant Y/N,45,-79,80.41
11,12/17/2025,602,CONFIRMED IVF PREGNANCY REPORT,349,Pregnant Y/N,92,-77,76.27
7,SM007,909/9,VL Rojo Whiskey 1/48,343,2,12,-79,76.72
7,Summary ,747,612,302,No,42,DIP,75.17
24,12/1/2025,DAM,612,349,Pregnant,91,DIP,90.9
14,Summary ,612,967/9,195,Palari Cattle Farm,64,-79,93.07
55,12/3/2025,825/4,909/9,187,17-Jan-2026,98,-97,88.1
33,SIRE,909/9,967/9,125,Pregnant,48,-80,63.99
10,12/17/2025,825/4,909/9,239,1,28,-77,64.53
2,12/3/2025,602,820/4,329,Pregnant Y/N,27,-79,86.5
53,14-Nov-25,DAM,609/9,Recipient TagID,2,88,-79,79.42
1,Whiskey 1/48,2/4,649/9,343,2,90,-77,92.61
22,Karu Manso 800-1,602,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,32835,Pregnant,13,-79,74.29
11,12/3/2025,909,820/4,239,Pregnant,42,-97,77.06
29,12/17/2025,2/4,631/9,312,No,61,-77,90.05
20,13-Nov-25,820/4,Karu Manso 800,Recipient TagID,2,88,-96,76.04
47,SIRE,967/9,VL Rojo Whiskey 1/48,Recipient TagID,6,34,-79,82.27
44,Summary ,597/9,Prepared For,187,Pregnant,85,-79,73.95
55,Karu Manso 800-1,909,747,Recipient TagID,6,66,-79,81.42
3,Total,909,612,95,Palari Cattle Farm,9,-79,84.89
25,Karu Manso 800-1,DAM,SM007,3,17-Jan-2026,25,-77,72.63
15,Pride of Maddox,602,631/9,188,2,1,-77,77.15
7,12/1/2025,2/4,631/9,41,3,36,-97,90.38
33,Pride of Maddox,DAM,VL Rojo Whiskey 1/48,276,5,30,-79,82.04
37,12/12/2025,2/4,SM007,329,6,19,-77,68.38
14,14-Nov-25,747,609/9,180,No,83,-80,72.68
19,Pride of Maddox,597/9,820/4,Units,1,88,-80,72.3
2,12/1/2025,2/4,825/4,75,6,49,-79,74.45
25,13-Nov-25,747,649/9,269,Palari Cattle Farm,73,-97,85.94
2,Whiskey 60/1,04-04,CONFIRMED IVF PREGNANCY REPORT,263,Pregnant Y/N,18,-80,91.49
54,SM007,602,04-04,112,5,41,-79,93.6
1,Total,967/9,967/9,55,3,24,DIP,90.57
Notes:,Whiskey 1/48,DAM,967/9,276,3,100,-77,89.4
47,12/12/2025,609,2/4,268,36,73,-77,63.18
6,12/12/2025,609,Karu Manso 800,226,2,19,-77,66.61
42,12/3/2025,602,MR V8 160/8,239,17-Jan-2026,31,-80,85.24
55,Whiskey 1/48,597/9,SIRE,Recipient TagID,No,67,-80,86.58
2,Pride of Maddox,597/9,SM007,1,Palari Cattle Farm,96,-80,76.98
"1. Dam, sire, recipient tag ID, and embryo transfer dates are accurately documented for genetic traceability and commercial validation.",Total,909,DAM,323,5,32,-96,88.16
10,12/12/2025,765/4,631/9,276,6,100,-80,93.46
