# ET,Lab,Satellite,Customer ID,ET Date,ET Location (recipient farm),Recipient ID,Recipient ID.1,Cow/Heifer,Heat,CL Side,CL measure (mm),Protocol,Fresh or Frozen,# Cane if Frozen,Freezing date,ET Tech,ET assistant,BCScore,Embryo Stage 4-8,Embryo Grade,Heat.1,Heat day,1st PC date,1st PC Result,2nd PC date,2nd PC Result,Fetal Sexing,OPU Date,Donor,Donor Breed,Donor BW EPD,SIRE Name,SIRE BW EPD,Semen type,SIRE Breed,CLIENT ,DIP,DIP.1
486.1,DZF,DZF,DZF,2024-10-05,DZF,57,Local crossbred,Cow,.,left,16.6,CIDR+E2+PGF+ECG,Frozen,DZF-1056-1,2024-09-19,Yaseen,Hamid,3.27,"7,8",1.0,Yes,6.44,2024-11-11,Pregnant,2024-07-17,79,41,2024-09-02,23035,Fresian,2.5,VL Rojo Whiskey 60/1,3.7,Conventional,Cross Breed,Dawood,-184.6,238.75
227.31,DZF,DZF,Maidan Cattle (Karachi),2024-04-11,DZF,39,Local crossbred,Cow,.,left,11.1,Natural heat,Fresh,DZF-1014-1,2024-06-29,Fakhar,Umer,3.02,"6,8",1.0,Yes,6.42,2024-03-20,Pregnant,2024-07-27,50,61,2025-03-04,12691,Cross Breed,-2.6,BRC MR. JUMANJI 67,2,Sexed Female,Cross Breed,Dawood,-207.39,92.92
370.85,DZF,DZF,Maidan Cattle (Karachi),2024-11-22,DZF,283,Local crossbred,Cow,.,right,19.4,CIDR+E2+PGF+ECG,Fresh,DZF-1044-1,2024-08-23,Ruben,Talal,2.8,5,1.0,Yes,6.49,2025-04-13,Pregnant,2024-02-18,64,63,2025-05-06,Miss Elegant,Red Brahman,3.1,MR. CLAYTON SLUGGER,1.4,Pre-Sorted for Female,Angus,Dawood,-136.42,275.14
56.29,DZF,DZF,Maidan Cattle (Karachi),2024-09-25,Maidan Cattle (Karachi),32093,Local crossbred,Cow,.,Left,19.5,CIDR+E2+ECG+PGF+GnRH,Frozen,DZF-1016-6,2024-05-22,Hamid,Umer,2.8,"7,8",1.0,Yes,6.97,2025-04-22,Open,2024-07-03,92,66,2024-08-12,257,Beef Master,2.2,SM007,3.7,Pre-Sorted for Female,Holstein Friesian,Dawood,-130.12,74.34
322.61,DZF,DZF,Model Cattle (Karachi),2024-10-07,DZF,321,Local crossbred,Cow,.,right,19,CIDR+E2+ECG+PGF+GnRH,Frozen,DZF-1056-1,2024-09-26,Yaseen,Javeria,3.45,"7,7",1.0,Yes,6.85,2024-03-18,Recheck,2024-04-29,12,57,2024-03-08,85M,Nukra,-0.4,CAUCHITOS KARU SIMON 922/6,1.7,Sexed Female,Red Brahman,Dawood,-121.33,83.97
361.22,DZF,DZF,Model Cattle (Karachi),2024-11-26,Model Cattle (Karachi),35,Local crossbred,Cow,Yes,right,8,CIDR+Estradiol+PGF+GnRH,Frozen,DZF-1040-1,2024-03-15,Yaseen,Masroor,3.24,7,1.0,Yes,6.36,2025-05-13,Pregnant,2024-02-21,14,46,2025-01-25,597,Red Brahman,2.5,Commando 888/47,1.4,Sexed Female,Beef Crossbred,Dawood,-251.9,80.88
479.93,DZF,DZF,Model Cattle (Karachi),2024-07-05,DZF,R4,Local crossbred,Cow,Yes,left,15.45,CIDR+E2+ECG+PGF+GnRH,Fresh,DZF-1016-1,2024-09-02,Yaseen,Talal,3.14,"6,6",1.0,Yes,6.87,2024-09-09,Recheck,2024-08-08,70,50,2024-01-30,3/4,Fresian,2.3,6.966666667,1.7,Sexed Female,Red Brahman,Dawood,-93.55,289.7
371.04,DZF,DZF,DZF,2024-09-11,DZF,149,Local crossbred,Cow,.,Left,12.35,CIDR+E2+PGF+ECG,Frozen,DZF-1044-1,2025-04-10,Fakhar,Talal,3.36,6,1.0,Yes,6.97,2024-08-31,Recheck,2024-05-08,66,26,2024-07-21,3012,Nukra,2.5,SM007,2,Pre-Sorted for Female,Holstein Friesian,Dawood,-173.54,178.3
253.56,DZF,DZF,Model Cattle (Karachi),2024-10-19,Maidan Cattle (Karachi),48,Local crossbred,Cow,Yes,Right,13,CIDR+E2+ECG+PGF+GnRH,Frozen,DZF-1056-1,2024-12-27,Masroor,Hamid,3.29,8,1.0,Yes,6.82,2024-03-23,Open,2025-04-24,83,88,2024-09-26,204,Fresian,1.9,BRC MR. JUMANJI 67,1.7,Pre-Sorted for Female,Holstein Friesian,Dawood,-254.05,147.0
3.17,DZF,DZF,Maidan Cattle (Karachi),2025-04-28,Maidan Cattle (Karachi),32145,Local crossbred,Cow,.,Left,.,CIDR+GnRH+PGF+GnRH,Frozen,DZF-1010-1,2024-01-09,Ruben,Umer,3.52,"6,6",1.0,Yes,6.49,2024-12-11,Recheck,2024-09-13,37,2,2024-10-14,85M,Red Brahman,3.6,BRC Dutton 376/8,.,Sexed Female,Cross Breed,Dawood,-124.06,75.58
