Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
1,11/14/2025,197,Prepared For,5,BRC Dutton 376/8,96
"1. Dam, sire, recipient tag ID, and embryo transfer dates are accurately documented for genetic traceability and commercial validation.",5/21/2025,32057,Pregnant,5,Dawood - Shazain Cattle Farm,77
11,Total,32386,Prepared On,12,BRC MR. JUMANJI 67,77
3,11/3/2025,32386,CONFIRMED IVF PREGNANCY REPORT,D3,BRC MR. JUMANJI 67,96
5,Summary ,32144,Pregnant,D3,18-Jan-2026,77
9,BRC Dutton 376/8,32057,Prepared On,4,Dawood - Shazain Cattle Farm,114
6,12/3/2025,197,D3,1,SIRE Name,273
1,12/3/2025,R1,DAM,5,Dawood - Shazain Cattle Farm,273
5,6/20/2025,197,D2,Donor,SIRE Name,114
9,5/21/2025,Recipient ID,Prepared On,D2,MR. CLAYTON SLUGGER,DIP
Sr. No,ET Date,32824,D2,D3,BRC MR. JUMANJI 67,DIP
Notes:,ET Date,197,Pregnant,2,MR. CLAYTON SLUGGER,243
12,ET Date,32293,CONFIRMED IVF PREGNANCY REPORT,12,18-Jan-2026,77
Sr. No,5/21/2025,R4,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,1,BRC MR. JUMANJI 67,243
6,5/21/2025,272,1st PC Result,5,BRC Dutton 376/8,96
1,ET Date,32057,D3,12,MR. CLAYTON SLUGGER,114
2,10/27/2025,272,D3,12,BRC Dutton 376/8,96
8,10/27/2025,32144,DAM,12,BRC MR. JUMANJI 67,273
12,MR. CLAYTON SLUGGER,32216,1st PC Result,Donor,SIRE Name,243
10,SIRE,Recipient ID,1st PC Result,Donor,SIRE Name,114
11,10/27/2025,32824,Pregnant,Donor,SIRE Name,273
7,10/27/2025,32824,Pregnant,5,Dawood - Shazain Cattle Farm,107
2. This report serves as official delivery confirmation for the client’s IVF order.,11/14/2025,32293,D2,1,SIRE Name,107
12,Summary ,32144,D3,1,BRC MR. JUMANJI 67,DIP
"1. Dam, sire, recipient tag ID, and embryo transfer dates are accurately documented for genetic traceability and commercial validation.",10/27/2025,32144,Prepared On,1,Dawood - Shazain Cattle Farm,273
2,Summary ,272,CONFIRMED IVF PREGNANCY REPORT,2,BRC Dutton 376/8,77
5,BRC Dutton 376/8,277,1st PC Result,12,SIRE Name,243
"1. Dam, sire, recipient tag ID, and embryo transfer dates are accurately documented for genetic traceability and commercial validation.",10/27/2025,32144,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,4,BRC Dutton 376/8,DIP
11,11/3/2025,32057,Prepared On,Donor,Dawood - Shazain Cattle Farm,107
"3. Any further monitoring, calving guarantees, or post-confirmation services are governed by the agreed commercial terms.",MR. CLAYTON SLUGGER,Recipient ID,Prepared On,4,18-Jan-2026,DIP
"1. Dam, sire, recipient tag ID, and embryo transfer dates are accurately documented for genetic traceability and commercial validation.",11/3/2025,197,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,4,MR. CLAYTON SLUGGER,243
2,BRC MR. JUMANJI 67,32216,D3,1,MR. CLAYTON SLUGGER,DIP
2. This report serves as official delivery confirmation for the client’s IVF order.,11/14/2025,32824,1st PC Result,2,BRC MR. JUMANJI 67,114
2. This report serves as official delivery confirmation for the client’s IVF order.,Total,32057,DAM,Donor,BRC Dutton 376/8,77
3,Total,32144,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,4,MR. CLAYTON SLUGGER,77
7,6/20/2025,32293,D3,Donor,BRC Dutton 376/8,77
7,BRC MR. JUMANJI 67,32216,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,Donor,BRC Dutton 376/8,273
8,6/20/2025,R4,DAM,D3,BRC Dutton 376/8,107
4,5/21/2025,32386,Pregnant,Units,BRC MR. JUMANJI 67,114
"3. Any further monitoring, calving guarantees, or post-confirmation services are governed by the agreed commercial terms.",MR. CLAYTON SLUGGER,272,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,Units,SIRE Name,114
11,12/3/2025,32144,DAM,D3,BRC MR. JUMANJI 67,273
4,SIRE,32216,D3,Units,Dawood - Shazain Cattle Farm,77
"3. Any further monitoring, calving guarantees, or post-confirmation services are governed by the agreed commercial terms.",SIRE,32216,Pregnant,4,Dawood - Shazain Cattle Farm,96
"3. Any further monitoring, calving guarantees, or post-confirmation services are governed by the agreed commercial terms.",10/27/2025,R1,Pregnant,5,MR. CLAYTON SLUGGER,DIP
11,11/3/2025,197,Prepared On,D3,Dawood - Shazain Cattle Farm,243
2,SIRE,32216,1st PC Result,Donor,SIRE Name,DIP
7,10/27/2025,32216,Prepared On,5,MR. CLAYTON SLUGGER,96
2. This report serves as official delivery confirmation for the client’s IVF order.,BRC MR. JUMANJI 67,272,D3,Donor,BRC MR. JUMANJI 67,107
1,6/20/2025,Recipient ID,D3,12,Dawood - Shazain Cattle Farm,243
2,SIRE,272,D3,D3,SIRE Name,114
2. This report serves as official delivery confirmation for the client’s IVF order.,11/14/2025,32386,Prepared For,1,18-Jan-2026,107
Sr. No,BRC MR. JUMANJI 67,R4,Pregnant,4,Dawood - Shazain Cattle Farm,243
1,10/27/2025,32057,D2,2,BRC Dutton 376/8,114
4,11/14/2025,277,Prepared On,5,BRC MR. JUMANJI 67,96
6,12/3/2025,32144,1st PC Result,4,BRC MR. JUMANJI 67,273
10,10/27/2025,272,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,D3,MR. CLAYTON SLUGGER,96
9,11/14/2025,272,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,1,BRC Dutton 376/8,243
1,BRC MR. JUMANJI 67,32293,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,12,SIRE Name,DIP
11,Total,R1,D3,Donor,Dawood - Shazain Cattle Farm,114
8,BRC Dutton 376/8,32216,Pregnant,1,MR. CLAYTON SLUGGER,114
11,12/3/2025,32216,Prepared On,Donor,BRC MR. JUMANJI 67,96
12,10/27/2025,277,D3,5,18-Jan-2026,DIP
"3. Any further monitoring, calving guarantees, or post-confirmation services are governed by the agreed commercial terms.",BRC Dutton 376/8,32386,Prepared On,5,BRC Dutton 376/8,273
2,11/3/2025,R4,CONFIRMED IVF PREGNANCY REPORT,D3,SIRE Name,96
5,5/21/2025,32293,Prepared On,D3,Dawood - Shazain Cattle Farm,96
5,ET Date,32144,D3,Units,18-Jan-2026,273
3,Summary ,32144,Pregnant,1,18-Jan-2026,114
"3. Any further monitoring, calving guarantees, or post-confirmation services are governed by the agreed commercial terms.",MR. CLAYTON SLUGGER,32824,D2,4,BRC MR. JUMANJI 67,96
11,BRC Dutton 376/8,R1,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,Units,BRC MR. JUMANJI 67,96
8,11/14/2025,197,Prepared On,1,MR. CLAYTON SLUGGER,77
12,5/21/2025,32057,CONFIRMED IVF PREGNANCY REPORT,1,Dawood - Shazain Cattle Farm,114
"3. Any further monitoring, calving guarantees, or post-confirmation services are governed by the agreed commercial terms.",12/3/2025,328,1st PC Result,Units,BRC Dutton 376/8,114
9,SIRE,32293,CONFIRMED IVF PREGNANCY REPORT,D2,BRC Dutton 376/8,107
Sr. No,MR. CLAYTON SLUGGER,197,Prepared On,Donor,SIRE Name,96
Notes:,6/20/2025,328,Prepared On,1,Dawood - Shazain Cattle Farm,114
12,12/3/2025,32293,D2,1,Dawood - Shazain Cattle Farm,273
12,11/3/2025,32216,CONFIRMED IVF PREGNANCY REPORT,12,18-Jan-2026,77
2,6/20/2025,328,CONFIRMED IVF PREGNANCY REPORT,1,BRC Dutton 376/8,114
2,Total,32824,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,5,BRC Dutton 376/8,107
9,10/27/2025,277,1st PC Result,12,SIRE Name,107
9,BRC MR. JUMANJI 67,32144,CONFIRMED IVF PREGNANCY REPORT,4,BRC MR. JUMANJI 67,114
Notes:,MR. CLAYTON SLUGGER,R1,D3,D3,BRC MR. JUMANJI 67,DIP
Sr. No,11/14/2025,32386,CONFIRMED IVF PREGNANCY REPORT,D3,Dawood - Shazain Cattle Farm,243
2,10/27/2025,R4,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,D2,Dawood - Shazain Cattle Farm,107
Sr. No,6/20/2025,197,Prepared On,D2,BRC Dutton 376/8,114
12,11/14/2025,R1,D3,5,SIRE Name,96
9,SIRE,277,Pregnant,Donor,BRC MR. JUMANJI 67,77
1,MR. CLAYTON SLUGGER,32216,Pregnant,D2,Dawood - Shazain Cattle Farm,DIP
5,BRC MR. JUMANJI 67,32144,DAM,2,BRC Dutton 376/8,114
