Donor,Sire,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
602,BRC Dutton 376/8,22,BrafordBBQ,BRC Dutton 376/8,45,32115,VL Rojo Whiskey 1/48
991,Mr H Pride of Maddox Manso 684/8,68,BrafordBBQ,BRC Dutton 376/8,64,32115,VL Rojo Whiskey 1/48
602,JDH Janos Manso 709,22,BrafordBBQ,JDH Janos Manso 709,35,215,Mr H Pride of Maddox Manso 684/8
602,VL Rojo Whiskey 1/48,45,BrafordBBQ,BRC Dutton 376/8,68,31947,Mr H Pride of Maddox Manso 684/8
04-04,VL Rojo Whiskey 1/48,57,BrafordBBQ,JDH Janos Manso 709,3,31518,Mr H Pride of Maddox Manso 684/8
2/4,VL Rojo Whiskey 1/48,41,BrafordBBQ,BRC Dutton 376/8,66,62,Mr H Pride of Maddox Manso 684/8
3/4,Mr H Pride of Maddox Manso 684/8,38,BrafordBBQ,JDH Janos Manso 709,19,984,VL Rojo Whiskey 1/48
04-04,VL Rojo Whiskey 1/48,22,BrafordBBQ,BRC Dutton 376/8,63,984,Mr H Pride of Maddox Manso 684/8
909,JDH Janos Manso 709,13,BrafordBBQ,BRC Dutton 376/8,21,222,Mr H Pride of Maddox Manso 684/8
825/4,Mr H Pride of Maddox Manso 684/8,25,BrafordBBQ,JDH Janos Manso 709,26,31499,Mr H Pride of Maddox Manso 684/8
BrafordBBQ,JDH Janos Manso 709,79,BrafordBBQ,BRC Dutton 376/8,39,31518,Mr H Pride of Maddox Manso 684/8
3/4,BRC Dutton 376/8,11,BrafordBBQ,JDH Janos Manso 709,58,215,VL Rojo Whiskey 1/48
984,VL Rojo Whiskey 1/48,96,BrafordBBQ,BRC Dutton 376/8,95,31996,Mr H Pride of Maddox Manso 684/8
984,BRC Dutton 376/8,76,BrafordBBQ,JDH Janos Manso 709,11,239,Mr H Pride of Maddox Manso 684/8
991,BRC Dutton 376/8,63,BrafordBBQ,BRC Dutton 376/8,79,76,Mr H Pride of Maddox Manso 684/8
984,JDH Janos Manso 709,51,BrafordBBQ,JDH Janos Manso 709,42,262,Mr H Pride of Maddox Manso 684/8
BrafordBBQ,BRC Dutton 376/8,12,BrafordBBQ,JDH Janos Manso 709,92,187,Mr H Pride of Maddox Manso 684/8
3/4,VL Rojo Whiskey 1/48,13,BrafordBBQ,BRC Dutton 376/8,68,61,Mr H Pride of Maddox Manso 684/8
909,VL Rojo Whiskey 1/48,93,BrafordBBQ,JDH Janos Manso 709,98,222,Mr H Pride of Maddox Manso 684/8
2/4,Mr H Pride of Maddox Manso 684/8,68,BrafordBBQ,BRC Dutton 376/8,20,984,VL Rojo Whiskey 1/48
D2,Mr H Pride of Maddox Manso 684/8,71,BrafordBBQ,JDH Janos Manso 709,63,3/4,VL Rojo Whiskey 1/48
3/4,BRC Dutton 376/8,71,BrafordBBQ,JDH Janos Manso 709,91,268,Mr H Pride of Maddox Manso 684/8
3/4,VL Rojo Whiskey 1/48,61,BrafordBBQ,JDH Janos Manso 709,59,984,VL Rojo Whiskey 1/48
D2,BRC Dutton 376/8,63,BrafordBBQ,BRC Dutton 376/8,39,31518,VL Rojo Whiskey 1/48
3/4,Mr H Pride of Maddox Manso 684/8,57,BrafordBBQ,BRC Dutton 376/8,27,31518,VL Rojo Whiskey 1/48
2/4,BRC Dutton 376/8,50,BrafordBBQ,JDH Janos Manso 709,25,31499,Mr H Pride of Maddox Manso 684/8
3/4,Mr H Pride of Maddox Manso 684/8,18,BrafordBBQ,JDH Janos Manso 709,89,31947,VL Rojo Whiskey 1/48
602,BRC Dutton 376/8,68,BrafordBBQ,BRC Dutton 376/8,73,62,VL Rojo Whiskey 1/48
909,VL Rojo Whiskey 1/48,50,BrafordBBQ,BRC Dutton 376/8,21,991,Mr H Pride of Maddox Manso 684/8
BrafordBBQ,BRC Dutton 376/8,80,BrafordBBQ,BRC Dutton 376/8,48,215,VL Rojo Whiskey 1/48
BrafordBBQ,Mr H Pride of Maddox Manso 684/8,23,BrafordBBQ,BRC Dutton 376/8,3,984,VL Rojo Whiskey 1/48
991,Mr H Pride of Maddox Manso 684/8,7,BrafordBBQ,BRC Dutton 376/8,23,62,Mr H Pride of Maddox Manso 684/8
602,JDH Janos Manso 709,55,BrafordBBQ,JDH Janos Manso 709,10,31996,VL Rojo Whiskey 1/48
BrafordBBQ,Mr H Pride of Maddox Manso 684/8,71,BrafordBBQ,BRC Dutton 376/8,22,262,VL Rojo Whiskey 1/48
825/4,Mr H Pride of Maddox Manso 684/8,53,BrafordBBQ,JDH Janos Manso 709,49,31947,Mr H Pride of Maddox Manso 684/8
602,Mr H Pride of Maddox Manso 684/8,71,BrafordBBQ,JDH Janos Manso 709,75,222,Mr H Pride of Maddox Manso 684/8
991,Mr H Pride of Maddox Manso 684/8,71,BrafordBBQ,JDH Janos Manso 709,12,31996,Mr H Pride of Maddox Manso 684/8
04-04,Mr H Pride of Maddox Manso 684/8,86,BrafordBBQ,BRC Dutton 376/8,93,31499,VL Rojo Whiskey 1/48
2/4,JDH Janos Manso 709,36,BrafordBBQ,JDH Janos Manso 709,77,215,Mr H Pride of Maddox Manso 684/8
991,JDH Janos Manso 709,36,BrafordBBQ,BRC Dutton 376/8,19,31518,Mr H Pride of Maddox Manso 684/8
984,BRC Dutton 376/8,11,BrafordBBQ,JDH Janos Manso 709,7,991,Mr H Pride of Maddox Manso 684/8
2/4,VL Rojo Whiskey 1/48,12,BrafordBBQ,JDH Janos Manso 709,67,3/4,Mr H Pride of Maddox Manso 684/8
825/4,BRC Dutton 376/8,25,BrafordBBQ,JDH Janos Manso 709,69,61,Mr H Pride of Maddox Manso 684/8
825/4,JDH Janos Manso 709,84,BrafordBBQ,JDH Janos Manso 709,10,323,Mr H Pride of Maddox Manso 684/8
3/4,JDH Janos Manso 709,100,BrafordBBQ,BRC Dutton 376/8,75,239,Mr H Pride of Maddox Manso 684/8
984,Mr H Pride of Maddox Manso 684/8,23,BrafordBBQ,BRC Dutton 376/8,64,31499,VL Rojo Whiskey 1/48
3/4,JDH Janos Manso 709,61,BrafordBBQ,JDH Janos Manso 709,50,323,Mr H Pride of Maddox Manso 684/8
2/4,Mr H Pride of Maddox Manso 684/8,69,BrafordBBQ,BRC Dutton 376/8,57,323,VL Rojo Whiskey 1/48
3/4,BRC Dutton 376/8,66,BrafordBBQ,JDH Janos Manso 709,6,215,Mr H Pride of Maddox Manso 684/8
984,Mr H Pride of Maddox Manso 684/8,18,BrafordBBQ,BRC Dutton 376/8,23,166,VL Rojo Whiskey 1/48
825/4,VL Rojo Whiskey 1/48,10,BrafordBBQ,BRC Dutton 376/8,74,222,Mr H Pride of Maddox Manso 684/8
04-04,VL Rojo Whiskey 1/48,43,BrafordBBQ,JDH Janos Manso 709,6,239,VL Rojo Whiskey 1/48
602,VL Rojo Whiskey 1/48,42,BrafordBBQ,JDH Janos Manso 709,33,323,Mr H Pride of Maddox Manso 684/8
3/4,Mr H Pride of Maddox Manso 684/8,88,BrafordBBQ,BRC Dutton 376/8,8,239,VL Rojo Whiskey 1/48
BrafordBBQ,VL Rojo Whiskey 1/48,23,BrafordBBQ,BRC Dutton 376/8,9,61,Mr H Pride of Maddox Manso 684/8
602,JDH Janos Manso 709,58,BrafordBBQ,BRC Dutton 376/8,88,62,Mr H Pride of Maddox Manso 684/8
3/4,BRC Dutton 376/8,80,BrafordBBQ,JDH Janos Manso 709,55,31947,VL Rojo Whiskey 1/48
D2,JDH Janos Manso 709,37,BrafordBBQ,BRC Dutton 376/8,45,215,VL Rojo Whiskey 1/48
602,BRC Dutton 376/8,67,BrafordBBQ,JDH Janos Manso 709,19,984,Mr H Pride of Maddox Manso 684/8
BrafordBBQ,Mr H Pride of Maddox Manso 684/8,95,BrafordBBQ,JDH Janos Manso 709,36,239,Mr H Pride of Maddox Manso 684/8
3/4,JDH Janos Manso 709,86,BrafordBBQ,JDH Janos Manso 709,21,262,Mr H Pride of Maddox Manso 684/8
602,JDH Janos Manso 709,13,BrafordBBQ,JDH Janos Manso 709,87,323,Mr H Pride of Maddox Manso 684/8
909,JDH Janos Manso 709,40,BrafordBBQ,BRC Dutton 376/8,90,31947,VL Rojo Whiskey 1/48
825/4,VL Rojo Whiskey 1/48,61,BrafordBBQ,BRC Dutton 376/8,90,31499,Mr H Pride of Maddox Manso 684/8
BrafordBBQ,BRC Dutton 376/8,49,BrafordBBQ,BRC Dutton 376/8,32,31499,VL Rojo Whiskey 1/48
909,Mr H Pride of Maddox Manso 684/8,58,BrafordBBQ,BRC Dutton 376/8,95,215,Mr H Pride of Maddox Manso 684/8
2/4,Mr H Pride of Maddox Manso 684/8,75,BrafordBBQ,JDH Janos Manso 709,6,984,Mr H Pride of Maddox Manso 684/8
984,JDH Janos Manso 709,68,BrafordBBQ,JDH Janos Manso 709,54,984,VL Rojo Whiskey 1/48
991,VL Rojo Whiskey 1/48,73,BrafordBBQ,BRC Dutton 376/8,85,62,VL Rojo Whiskey 1/48
D2,Mr H Pride of Maddox Manso 684/8,51,BrafordBBQ,BRC Dutton 376/8,30,195,VL Rojo Whiskey 1/48
